2020-06-03,Maharashtra,0
2020-06-03,Tamil Nadu,0
2020-06-03,Delhi,0
2020-06-03,Gujarat,0
2020-06-03,Rajasthan,0
2020-06-03,Uttar Pradesh,0
2020-06-03,Madhya Pradesh,0
2020-06-03,Unknown*,0
2020-06-03,West Bengal,0
2020-06-03,Bihar,0
2020-06-03,Karnataka,0
2020-06-03,Andhra Pradesh,0
2020-06-03,Telangana,0
2020-06-03,Jammu and Kashmir,0
2020-06-03,Haryana,0
2020-06-03,Punjab,0
2020-06-03,Odisha,0
2020-06-03,Assam,0
2020-06-03,Kerala,0
2020-06-03,Uttarakhand,0
2020-06-03,Jharkhand,0
2020-06-03,Chhattisgarh,0
2020-06-03,Tripura,0
2020-06-03,Himachal Pradesh,0
2020-06-03,Chandigarh,0
2020-06-03,Manipur,0
2020-06-03,Puducherry,0
2020-06-03,Ladakh,0
2020-06-03,Goa,0
2020-06-03,Nagaland,0
2020-06-03,Andaman and Nicobar Islands,0
2020-06-03,Meghalaya,0
2020-06-03,Arunachal Pradesh,0
2020-06-03,Mizoram,0
2020-06-03,Dadra and Nagar Haveli,0
2020-06-03,Sikkim,0
2020-06-03,Lakshadweep,0
2020-06-03,Daman and Diu,0
